"id","y","Time"
1,2,2.043
1,2,2.24
1,2,2.871
1,2,2.929
1,2,3.406
1,6,6.996
2,9,2.451
2,9,2.487
2,9,2.642
2,9,2.685
2,7,4.191
2,7,4.469
2,7,4.724
2,6,6.686
2,6,6.724
2,6,7.383
3,12,7.555
3,12,7.859
3,12,7.913
3,12,8.022
3,12,8.386
3,12,8.588
3,12,8.853
3,12,9.039
3,12,9.442
4,13,4.397
4,13,5.317
4,13,6.447
4,13,6.649
4,13,7.292
4,13,7.544
4,13,9.642
5,23,2.019
5,23,2.29
5,23,2.383
5,23,2.522
5,23,2.741
5,22,3.976
5,22,4.088
5,22,4.144
5,22,4.216
5,22,4.403
5,22,4.585
5,22,5.485
5,20,6.034
5,20,6.197
5,20,6.469
5,20,6.545
5,20,6.879
5,23,7.844
5,22,7.968
5,22,8.063
5,22,8.115
5,22,8.493
5,22,8.823
5,23,9.04
5,23,9.19
5,23,9.411
5,23,9.844
5,22,9.89
6,30,10.383
7,3,1.533
7,3,1.69
7,2,3.92
8,3,1.289
8,3,1.365
8,3,1.398
8,3,1.494
8,3,1.78
8,1,1.786
9,7,9.557
9,7,9.593
9,7,9.769
9,7,10.476
